subcategory,n_words,avg_proxy_score,avg_similarity,avg_brevity,leak_rate,empty_rate
文具,1,0.7399741053581237,0.6285344362258911,1.0,0.0,0.0
動物,5,0.6952375172214074,0.5724172323942185,0.9818181818181818,0.0,0.0
食物,16,0.6603412957862019,0.5415589939802885,0.9375,0.0625,0.0625
金融機構,1,0.6278626859188079,0.4683752655982971,1.0,0.0,0.0
交通工具,6,0.6170509085059165,0.45292986929416656,1.0,0.0,0.0
水果,6,0.5673750646412372,0.38196437805891037,1.0,0.0,0.0
生活用品,8,0.5625749923288822,0.37510713189840317,1.0,0.0,0.0
電器用品,16,0.5616283234208822,0.42732617631554604,0.875,0.125,0.125
學校,1,0.5503944507666996,0.3781145215034485,0.9523809523809524,0.0,0.0
廚房用品,3,0.5350405236085255,0.335772176583608,1.0,0.0,0.0
動作,25,0.4994490215586764,0.3200292144715786,0.9180952380952381,0.08,0.08
醫療場所,2,0.4714324726590088,0.2653116956353187,0.9523809523809524,0.0,0.0
輔具,6,0.46363785515228906,0.30519693593184155,0.8333333333333334,0.16666666666666666,0.16666666666666666
服飾&配件,3,0.4355093643069266,0.3364419490098953,0.6666666666666666,0.3333333333333333,0.3333333333333333
休閒娛樂,10,0.4184430176019668,0.29777573943138125,0.7,0.3,0.3
娛樂場所,2,0.31372944414615633,0.23389920592308044,0.5,0.5,0.5
喝,3,0.2747872670491536,0.24969609578450522,0.3333333333333333,0.6666666666666666,0.6666666666666666
調味,2,0.2507914528250694,0.14398778975009915,0.5,0.5,0.5
運動場所,2,0.2300076775252819,0.11429668217897415,0.5,0.5,0.5
家具,4,0.20390233695507048,0.1841461956501007,0.25,0.75,0.75
餐具,3,0.1890673478444417,0.12723906834920248,0.3333333333333333,0.6666666666666666,0.6666666666666666
